SELLDATE,SELLMONTH,SELLYEAR,ADDRESS,CITY,STATE,ZIP, PRICE ,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YARDSPACE,YEARBUILT,SELLAGE,PRICE/SQFT,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
17-Jan-23,Jan-23,2023,3768 Shady Pines Ct,Frisco,TX,75033,"$889,900.00 ",5,4.5,Northwood Manor,3970,6534,2564,2022,1,$224.16 ,79,20240518,33.1893528,-96.8554316
28-Dec-22,Dec-22,2022,513 Meandering Ln,Frisco,TX,75078,"$930,996.00 ",4,4.5,Estates at Rockhill,3715,10454,6739,2022,0,$250.60 ,54,20038990,33.20972,-96.886986
6-Apr-22,Apr-22,2022,3582 Rustic Oak Dr,Frisco,TX,75033,"$948,175.00 ",5,4.5,Northwood,3353,10890,7537,2021,1,$282.78 ,79,14746798,33.1887331,-96.8570922
7-Feb-22,Feb-22,2022,13850 DUTCH HOLLOW Dr,Frisco,TX,75033,"$475,000.00 ",4,3.5,Grayhawk Sec II Ph II,2775,7362,4587,2006,16,$171.17 ,50,14740433,33.1933071,-96.8749548
11-Mar-22,Mar-22,2022,16138 Creek Plum,Frisco,TX,75033,"$829,900.00 ",5,4.5,Hollyhock,3757,8276,4519,2021,1,$220.89 ,175,14682228,33.2123156,-96.8685865
4-Mar-22,Mar-22,2022,15649 Carnation Rd,Frisco,TX,75033,"$917,755.00 ",5,4.5,Hollyhock,3688,,0,2022,0,$248.85 ,175,14759808,33.20804,-96.86644
23-Nov-21,Nov-21,2021,2528 Horsetail,Frisco,TX,75033,"$794,400.00 ",4,3.5,Hollyhock,3562,8276,4714,2021,0,$223.02 ,175,14701452,33.216705,-96.866807
31-Aug-22,Aug-22,2022,3612 Shady Pines Ct,Frisco,TX,75033,"$1,016,400.00 ",5,4.5,Northwood,3970,10890,6920,2021,1,$256.02 ,79,20056471,33.1892859,-96.8570066
29-Jun-22,Jun-22,2022,3472 Rustic Oak Dr,Frisco,TX,75033,"$959,900.00 ",5,4.5,Northwood,3353,6882,3529,2021,1,$286.28 ,79,20005116,33.1881968,-96.8578064
2-Jun-22,Jun-22,2022,1806 Evening Star Rd,Frisco,TX,75033,"$835,000.00 ",4,4,Hollyhock Ph 1a,3132,7013,3881,2016,6,$266.60 ,175,20029827,33.2155168,-96.8739074
15-Mar-21,Mar-21,2021,1877 Evening Star Rd,Frisco,TX,75033,"$550,000.00 ",4,4,Hollyhock Ph 1a,3153,7013,3860,2017,4,$174.44 ,175,14514669,33.2150112,-96.8731742
22-Sep-22,Sep-22,2022,1894 Coralbead Rd,Frisco,TX,75033,"$699,000.00 ",3,2.5,Hollyhock Ph 1a,2612,11108,8496,2018,4,$267.61 ,175,20170216,33.2164092,-96.8731742
16-Apr-21,Apr-21,2021,1517 Lone Pine Dr,Little Elm,TX,75068,"$320,000.00 ",3,2,Frisco Ranch Phase 4B,1958,5227,3269,2012,9,$163.43 ,42,14526858,33.1955668,-96.8847974
16-May-22,May-22,2022,3560 Rustic Oak Dr,Frisco,TX,75033,"$923,675.00 ",5,4,Northwood,3562,8712,5150,2021,1,$259.31 ,79,14740627,33.1885377,-96.8571498
22-Mar-21,Mar-21,2021,15665 Cherry Blossom,Frisco,TX,75033,"$572,815.00 ",4,3,Hollyhock,2761,,0,2021,0,$207.47 ,700,14528530,33.2082488,-96.8654863
17-Mar-21,Mar-21,2021,15792 Pleat Leaf,Frisco,TX,75033,"$619,444.00 ",5,4.5,Hollyhock,3688,,0,2021,0,$167.96 ,700,14528546,33.2093245,-96.8669735
22-Oct-21,Oct-21,2021,15812 Renner Ln,Frisco,TX,75068,"$647,815.00 ",4,3,Estates at Rockhill,2566,7841,5275,2021,0,$252.46 ,54,14699997,33.209535,-96.883997
15-Mar-22,Mar-22,2022,2299 Mackinac Dr,Frisco,TX,75033,"$629,000.00 ",5,3.5,Grayhawk Sec II Ph III,3777,10019,6242,2005,17,$166.53 ,50,14752148,33.19072,-96.871158
30-Nov-21,Nov-21,2021,15718 Tea Tree Rd,Frisco,TX,75034,"$869,400.00 ",5,4.5,Hollyhock,3757,7841,4084,2021,0,$231.41 ,175,14680431,33.2088112,-96.8687541
29-Mar-21,Mar-21,2021,15643 Cherry Blossom,Frisco,TX,75033,"$761,061.00 ",5,5.5,Hollyhock,4617,,0,2021,0,$164.84 ,700,14528520,33.208028,-96.8655282
30-Aug-22,Aug-22,2022,781 Pentonville Ln,Frisco,TX,75078,"$816,576.00 ",5,5.5,Estates at Rockhill,4123,7841,3718,2021,1,$198.05 ,54,14538676,33.208856,-96.885894
4-Mar-22,Mar-22,2022,15683 Pleat Leaf,Frisco,TX,75033,"$852,296.00 ",4,3.5,Hollyhock,3130,,0,2022,0,$272.30 ,175,14759837,33.2082827,-96.8675716
30-Sep-21,Sep-21,2021,2226 Bristlegrass Rd,Frisco,TX,75033,"$784,400.00 ",5,4.5,Hollyhock,3757,8276,4519,2021,0,$208.78 ,175,14529872,33.210445,-96.869737
3-Aug-22,Aug-22,2022,15688 Renner Ln,Frisco,TX,75078,"$631,300.00 ",4,3,Estates at Rockhill,3798,7841,4043,2021,1,$166.22 ,54,14538670,33.209312,-96.88434
17-Nov-22,Nov-22,2022,561 Meandering Ln,Frisco,TX,75078,"$702,045.00 ",5,4,Estates at Rockhill,4029,7841,3812,2021,1,$174.25 ,54,14538659,33.2096435,-96.8864991
27-Jan-22,Jan-22,2022,16546 Creek Plum Rd,Frisco,TX,75033,"$914,400.00 ",5,4,Hollyhock,4093,8276,4183,2021,1,$223.41 ,175,14727405,33.215138,-96.866332
18-Nov-22,Nov-22,2022,758 Pleasant Point Ln,Frisco,TX,75078,"$700,958.00 ",4,4.5,Estates at Rockhill,3064,7841,4777,2021,1,$228.77 ,54,14538642,33.2081904,-96.8847523
23-Jan-23,Jan-23,2023,3503 Rustic Oak Dr,Frisco,TX,75033,"$789,900.00 ",4,4,Northwood Manor,3155,10890,7735,2022,1,$250.36 ,79,20229869,33.1879408,-96.8571958
30-Sep-21,Sep-21,2021,15699 Thorn Apple Rd,Frisco,TX,75033,"$792,900.00 ",5,4,Hollyhock,4093,8276,4183,2021,0,$193.72 ,175,14529877,33.2085344,-96.8713935
27-May-21,May-21,2021,2452 Horsetail,Frisco,TX,75033,"$659,900.00 ",4,4,Hollyhock,3664,8712,5048,2021,0,$180.10 ,175,14511064,33.2168019,-96.8676438
28-Apr-21,Apr-21,2021,13840 Fall Harvest Dr,Frisco,TX,75033,"$410,000.00 ",4,2,Grayhawk Sec II Ph IV,2222,7667,5445,2006,15,$184.52 ,50,14536636,33.1937655,-96.8729856
6-Jul-22,Jul-22,2022,16584 Trumpet Vine Rd,Frisco,TX,75033,"$900,000.00 ",4,3.5,Hollyhock Ph 1b & 1c,3839,8538,4699,2018,4,$234.44 ,44,20053738,33.2158588,-96.8689007
7-Jul-22,Jul-22,2022,15720 Pleat Leaf Rd,Frisco,TX,75033,"$1,069,990.00 ",5,4.5,Hollyhock Ph 3,3539,10149,6610,2019,3,$302.34 ,175,20068602,33.2086462,-96.8669945
21-Oct-21,Oct-21,2021,2262 Bristlegrass Rd,Frisco,TX,75033,"$809,400.00 ",4,4,Hollyhock,3543,8276,4733,2021,0,$228.45 ,175,14611022,33.2105057,-96.8693196
14-Apr-22,Apr-22,2022,16255 Sedgemoor Dr,Frisco,TX,75033,"$575,000.00 ",4,3.5,Somerset Park,2603,8146,5543,2018,4,$220.90 ,69,20004558,33.212909,-96.879749
29-Jun-22,Jun-22,2022,15796 Gardenia Rd,Frisco,TX,75033,"$1,096,907.00 ",4,4.5,HOLLYHOCK PHASE 5,3686,9583,5897,2021,1,$297.59 ,175,14715945,33.2095346,-96.8639536
18-Mar-22,Mar-22,2022,1090 Frisco Ranch Rd,Frisco,TX,75033,"$599,000.00 ",4,3.5,Glen View,2845,6621,3776,2018,4,$210.54 ,80,14766205,33.1967742,-96.8812612
16-Nov-21,Nov-21,2021,16528 Creek Plum Rd,Frisco,TX,75033,"$795,000.00 ",4,3.5,Hollyhock Ph 2,3562,8494,4932,2021,0,$223.19 ,175,14686009,33.215035,-96.86652
22-Jun-21,Jun-21,2021,14756 Speargrass Dr,Frisco,TX,75033,"$463,501.00 ",4,2.5,Glen View,2622,9583,6961,2020,1,$176.77 ,80,14487899,33.2010175,-96.8768312
8-Apr-21,Apr-21,2021,2170 Hunt Club Trl,Frisco,TX,75033,"$405,000.00 ",4,3.5,Grayhawk Sec II Ph IV,3050,6011,2961,2009,12,$132.79 ,50,14543295,33.1963806,-96.8723152
23-May-21,May-21,2021,1434 Gray Fox Ln,Frisco,TX,75033,"$518,281.00 ",5,3.5,Glen View,3218,9583,6365,2021,0,$161.06 ,80,14499725,33.1996004,-96.8780974
14-Apr-21,Apr-21,2021,1090 Frisco Ranch Rd,Frisco,TX,75033,"$489,900.00 ",4,3.5,Glen View,2845,6621,3776,2018,3,$172.20 ,80,14540361,33.1967742,-96.8812612
12-Jul-21,Jul-21,2021,1505 Lone Pine Dr,Little Elm,TX,75068,"$274,500.00 ",3,2,Frisco Ranch Ph 4a,1262,5227,3965,2011,10,$217.51 ,42,14595471,33.195939,-96.8846313
2-Apr-21,Apr-21,2021,1170 Shortgrass Ln,Frisco,TX,75033,"$449,900.00 ",4,3,Glen View,2516,8146,5630,2019,2,$178.82 ,80,14517965,33.1977529,-96.8802972
