DATE,HPI
1/1/2000,100
2/1/2000,101.82326
3/1/2000,102.03669
4/1/2000,103.20051
5/1/2000,104.1144
6/1/2000,104.2777
7/1/2000,104.66346
8/1/2000,105.0381
9/1/2000,105.73049
10/1/2000,105.69277
11/1/2000,106.194
12/1/2000,106.19962
1/1/2001,106.49335
2/1/2001,107.09404
3/1/2001,108.33494
4/1/2001,109.77023
5/1/2001,110.45024
6/1/2001,111.20353
7/1/2001,111.11606
8/1/2001,111.38947
9/1/2001,111.22104
10/1/2001,111.42604
11/1/2001,111.36899
12/1/2001,111.61885
1/1/2002,111.76329
2/1/2002,111.39807
3/1/2002,112.36734
4/1/2002,113.14244
5/1/2002,113.81221
6/1/2002,113.96153
7/1/2002,113.97663
8/1/2002,114.42267
9/1/2002,114.50356
10/1/2002,114.15161
11/1/2002,113.79526
12/1/2002,113.81996
1/1/2003,113.89493
2/1/2003,113.37912
3/1/2003,112.93244
4/1/2003,113.22311
5/1/2003,113.91383
6/1/2003,114.96261
7/1/2003,115.29414
8/1/2003,115.39148
9/1/2003,115.25655
10/1/2003,114.88704
11/1/2003,114.58539
12/1/2003,114.04662
1/1/2004,113.99536
2/1/2004,113.79515
3/1/2004,113.24766
4/1/2004,114.20496
5/1/2004,115.37063
6/1/2004,116.39772
7/1/2004,116.93388
8/1/2004,117.17607
9/1/2004,116.9752
10/1/2004,116.75704
11/1/2004,116.44936
12/1/2004,116.57966
1/1/2005,116.38919
2/1/2005,116.45745
3/1/2005,117.37315
4/1/2005,118.36502
5/1/2005,119.47166
6/1/2005,120.02775
7/1/2005,120.82903
8/1/2005,121.15007
9/1/2005,121.62157
10/1/2005,121.6638
11/1/2005,122.11284
12/1/2005,122.20399
1/1/2006,121.91083
2/1/2006,121.32849
3/1/2006,121.52173
4/1/2006,122.39961
5/1/2006,123.28627
6/1/2006,124.49855
7/1/2006,125.36724
8/1/2006,125.70066
9/1/2006,125.18592
10/1/2006,124.58129
11/1/2006,123.85171
12/1/2006,123.66966
1/1/2007,122.63606
2/1/2007,122.7292
3/1/2007,123.15619
4/1/2007,124.70646
5/1/2007,125.4936
6/1/2007,126.46739
7/1/2007,126.2979
8/1/2007,126.30715
9/1/2007,125.42228
10/1/2007,124.44772
11/1/2007,122.39309
12/1/2007,120.77807
1/1/2008,118.49404
2/1/2008,117.7591
3/1/2008,119.00629
4/1/2008,120.44292
5/1/2008,121.60334
6/1/2008,122.4946
7/1/2008,123.21077
8/1/2008,123.03715
9/1/2008,122.06423
10/1/2008,120.58656
11/1/2008,118.25391
12/1/2008,115.43881
1/1/2009,112.60498
2/1/2009,112.25767
3/1/2009,112.36109
4/1/2009,114.29694
5/1/2009,116.50346
6/1/2009,119.72946
7/1/2009,121.26289
8/1/2009,121.49877
9/1/2009,120.62665
10/1/2009,119.90985
11/1/2009,119.9567
12/1/2009,118.83345
1/1/2010,117.29445
2/1/2010,115.26581
3/1/2010,115.8238
4/1/2010,118.17714
5/1/2010,119.91624
6/1/2010,121.04087
7/1/2010,120.75475
8/1/2010,119.35893
9/1/2010,117.44474
10/1/2010,116.11164
11/1/2010,114.88219
12/1/2010,114.66703
1/1/2011,114.04325
2/1/2011,113.7843
3/1/2011,112.75775
4/1/2011,113.28027
5/1/2011,114.27635
6/1/2011,115.90149
7/1/2011,116.92138
8/1/2011,117.11197
9/1/2011,116.44224
10/1/2011,115.42153
11/1/2011,113.99559
12/1/2011,113.18091
1/1/2012,112.63033
2/1/2012,112.72139
3/1/2012,114.47638
4/1/2012,116.4207
5/1/2012,118.6002
6/1/2012,120.13666
