SOLD_MONTH,PROPERTYTYPE,ADDRESS,CITY,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,HOA_MONTH,MLS,LATITUDE,LONGITUDE
12/1/2022,Single Family Residential,513 Meandering Ln,Frisco,75078,930996,4,4.5,Estates at Rockhill,3715,10454,2022,251,54,20038990,33.20972,-96.886986
4/1/2022,Single Family Residential,3582 Rustic Oak Dr,Frisco,75033,948175,5,4.5,Northwood,3353,10890,2021,283,79,14746798,33.1887331,-96.8570922
2/1/2022,Single Family Residential,13850 DUTCH HOLLOW Dr,Frisco,75033,475000,4,3.5,Grayhawk Sec II Ph II,2775,7362,2006,171,50,14740433,33.1933071,-96.8749548
3/1/2022,Single Family Residential,16138 Creek Plum,Frisco,75033,829900,5,4.5,Hollyhock,3757,8276,2021,221,175,14682228,33.2123156,-96.8685865
3/1/2022,Single Family Residential,15649 Carnation Rd,Frisco,75033,917755,5,4.5,Hollyhock,3688,,2022,249,175,14759808,33.20804,-96.86644
11/1/2021,Single Family Residential,2528 Horsetail,Frisco,75033,794400,4,3.5,Hollyhock,3562,8276,2021,223,175,14701452,33.216705,-96.866807
8/1/2022,Single Family Residential,3612 Shady Pines Ct,Frisco,75033,1016400,5,4.5,Northwood,3970,10890,2021,256,79,20056471,33.1892859,-96.8570066
6/1/2022,Single Family Residential,3472 Rustic Oak Dr,Frisco,75033,959900,5,4.5,Northwood,3353,6882,2021,286,79,20005116,33.1881968,-96.8578064
6/1/2022,Single Family Residential,1806 Evening Star Rd,Frisco,75033,835000,4,4,Hollyhock Ph 1a,3132,7013,2016,267,175,20029827,33.2155168,-96.8739074
3/1/2021,Single Family Residential,1877 Evening Star Rd,Frisco,75033,550000,4,4,Hollyhock Ph 1a,3153,7013,2017,174,175,14514669,33.2150112,-96.8731742
9/1/2022,Single Family Residential,1894 Coralbead Rd,Frisco,75033,699000,3,2.5,Hollyhock Ph 1a,2612,11108,2018,268,175,20170216,33.2164092,-96.8731742
4/1/2021,Single Family Residential,1517 Lone Pine Dr,Little Elm,75068,320000,3,2,Frisco Ranch Phase 4B,1958,5227,2012,163,42,14526858,33.1955668,-96.8847974
5/1/2022,Single Family Residential,3560 Rustic Oak Dr,Frisco,75033,923675,5,4,Northwood,3562,8712,2021,259,79,14740627,33.1885377,-96.8571498
3/1/2021,Single Family Residential,15665 Cherry Blossom,Frisco,75033,572815,4,3,Hollyhock,2761,,2021,207,700,14528530,33.2082488,-96.8654863
3/1/2021,Single Family Residential,15792 Pleat Leaf,Frisco,75033,619444,5,4.5,Hollyhock,3688,,2021,168,700,14528546,33.2093245,-96.8669735
10/1/2021,Single Family Residential,15812 Renner Ln,Frisco,75068,647815,4,3,Estates at Rockhill,2566,7841,2021,252,54,14699997,33.209535,-96.883997
3/1/2022,Single Family Residential,2299 Mackinac Dr,Frisco,75033,629000,5,3.5,Grayhawk Sec II Ph III,3777,10019,2005,167,50,14752148,33.19072,-96.871158
11/1/2021,Single Family Residential,15718 Tea Tree Rd,Frisco,75034,869400,5,4.5,Hollyhock,3757,7841,2021,231,175,14680431,33.2088112,-96.8687541
3/1/2021,Single Family Residential,15643 Cherry Blossom,Frisco,75033,761061,5,5.5,Hollyhock,4617,,2021,165,700,14528520,33.208028,-96.8655282
8/1/2022,Single Family Residential,781 Pentonville Ln,Frisco,75078,816576,5,5.5,Estates at Rockhill,4123,7841,2021,198,54,14538676,33.208856,-96.885894
3/1/2022,Single Family Residential,15683 Pleat Leaf,Frisco,75033,852296,4,3.5,Hollyhock,3130,,2022,272,175,14759837,33.2082827,-96.8675716
9/1/2021,Single Family Residential,2226 Bristlegrass Rd,Frisco,75033,784400,5,4.5,Hollyhock,3757,8276,2021,209,175,14529872,33.210445,-96.869737
8/1/2022,Single Family Residential,15688 Renner Ln,Frisco,75078,631300,4,3,Estates at Rockhill,3798,7841,2021,166,54,14538670,33.209312,-96.88434
11/1/2022,Single Family Residential,561 Meandering Ln,Frisco,75078,702045,5,4,Estates at Rockhill,4029,7841,2021,174,54,14538659,33.2096435,-96.8864991
1/1/2022,Single Family Residential,16546 Creek Plum Rd,Frisco,75033,914400,5,4,Hollyhock,4093,8276,2021,223,175,14727405,33.215138,-96.866332
11/1/2022,Single Family Residential,758 Pleasant Point Ln,Frisco,75078,700958,4,4.5,Estates at Rockhill,3064,7841,2021,229,54,14538642,33.2081904,-96.8847523
9/1/2021,Single Family Residential,15699 Thorn Apple Rd,Frisco,75033,792900,5,4,Hollyhock,4093,8276,2021,194,175,14529877,33.2085344,-96.8713935
5/1/2021,Single Family Residential,2452 Horsetail,Frisco,75033,659900,4,4,Hollyhock,3664,8712,2021,180,175,14511064,33.2168019,-96.8676438
4/1/2021,Single Family Residential,13840 Fall Harvest Dr,Frisco,75033,410000,4,2,Grayhawk Sec II Ph IV,2222,7667,2006,185,50,14536636,33.1937655,-96.8729856
7/1/2022,Single Family Residential,16584 Trumpet Vine Rd,Frisco,75033,900000,4,3.5,Hollyhock Ph 1b & 1c,3839,8538,2018,234,44,20053738,33.2158588,-96.8689007
7/1/2022,Single Family Residential,15720 Pleat Leaf Rd,Frisco,75033,1069990,5,4.5,Hollyhock Ph 3,3539,10149,2019,302,175,20068602,33.2086462,-96.8669945
10/1/2021,Single Family Residential,2262 Bristlegrass Rd,Frisco,75033,809400,4,4,Hollyhock,3543,8276,2021,228,175,14611022,33.2105057,-96.8693196
